Date,variable,value,Symbol,Name,Sector,GICS.Sub.Industry,Market_Cap
2020-02-14,MMM,161.00999450683594,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-18,MMM,158.8800048828125,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-19,MMM,159.33999633789062,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-20,MMM,158.55999755859375,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-21,MMM,156.92999267578125,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-24,MMM,152.5500030517578,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-25,MMM,146.85000610351562,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-26,MMM,148.9600067138672,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-27,MMM,150.16000366210938,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-28,MMM,149.24000549316406,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-02,MMM,153.02000427246094,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-03,MMM,145.24000549316406,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-04,MMM,153.97999572753906,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-05,MMM,151.41000366210938,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-06,MMM,153.64999389648438,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-09,MMM,144.05999755859375,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-10,MMM,153.3000030517578,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-11,MMM,147.24000549316406,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-12,MMM,133.5800018310547,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-13,MMM,141.67999267578125,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-16,MMM,130.91000366210938,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-17,MMM,134.44000244140625,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-18,MMM,137.02000427246094,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-19,MMM,137.50999450683594,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-20,MMM,124.88999938964844,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-23,MMM,117.87000274658203,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-24,MMM,132.72000122070312,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-25,MMM,131.5399932861328,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-26,MMM,136.17999267578125,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-27,MMM,133.24000549316406,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-30,MMM,137.74000549316406,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-03-31,MMM,136.50999450683594,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-01,MMM,133.13999938964844,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-02,MMM,137.91000366210938,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-03,MMM,133.7899932861328,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-06,MMM,140.6999969482422,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-07,MMM,144.60000610351562,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-08,MMM,148.99000549316406,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-09,MMM,147.77999877929688,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-13,MMM,146.39999389648438,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-14,MMM,150.13999938964844,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-15,MMM,145.16000366210938,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-04-16,MMM,144.89999389648438,MMM,3M Company,Industrials,Industrial Conglomerates,92.68
2020-02-14,ABT,89.66000366210938,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-18,ABT,88.87999725341797,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-19,ABT,89.36000061035156,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-20,ABT,88.45999908447266,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-21,ABT,87.44999694824219,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-24,ABT,84.62999725341797,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-25,ABT,81.12999725341797,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-26,ABT,81.36000061035156,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-27,ABT,79.19000244140625,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-02-28,ABT,77.02999877929688,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-02,ABT,81.61000061035156,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-03,ABT,77.98999786376953,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-04,ABT,82.08999633789062,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-05,ABT,80.5199966430664,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-06,ABT,81.73999786376953,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-09,ABT,77.0199966430664,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-10,ABT,80.87999725341797,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-11,ABT,78.08999633789062,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-12,ABT,74.73999786376953,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-13,ABT,81.6500015258789,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-16,ABT,73.66000366210938,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-17,ABT,79.48999786376953,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
2020-03-18,ABT,79.26000213623047,ABT,Abbott Laboratories,Health Care,Health Care Equipment,158.11
